區域,分類,活動名稱（完整）,顯示名稱,描述,標籤,Google Maps,備註
曼谷,購物,"Don Don Donki Thong Lo","Don Don Donki","24 小時營業的唐吉訶德，位於 Thong Lo 區。提供大量日系藥妝、生鮮食品與生活用品，品質穩定，適合採購日本商品。BTS Thong Lo 站步行可達。","24hr 營業、日系藥妝、生鮮食品、Thong Lo BTS","https://maps.google.com/?q=Don+Don+Donki+Thong+Lo+Bangkok",""
曼谷,購物,"Central Chidlom","Central Chidlom","曼谷老牌高級百貨，保養品櫃位動線規劃優良，適合想避開觀光人潮、精準採購保養品（Kiehl's、NeoStrata 等）的人。BTS Chit Lom 站直達。","Chit Lom BTS、保養品採購、動線佳、高端百貨","https://maps.google.com/?q=Central+Chidlom+Bangkok",""
曼谷,購物,"Big C Supercenter","Big C","泰國大型連鎖超市，提供零食、泰式調味料、藥妝等伴手禮，價格實惠。Chit Lom 區有分店，可於 Copper 用餐後順道採購。營業至 22:00。","Chit Lom、零食伴手禮、藥妝、實惠","https://maps.google.com/?q=Big+C+Supercenter+Chit+Lom+Bangkok",""
曼谷,購物,"NaRaYa 曼谷包","NaRaYa","泰國知名曼谷包品牌，輕便耐用，款式多樣，適合當伴手禮。Central World、EmQuartier 等商場皆有專櫃。","曼谷包、伴手禮、輕便、專櫃","https://maps.google.com/?q=NaRaYa+Central+World+Bangkok",""
曼谷,購物,"Karmakamet 香氛","Karmakamet","泰國高級香氛品牌，提供精油、香氛蠟燭、身體保養品等，包裝精緻適合送禮。Siam Paragon、EmQuartier 有專櫃。","泰國香氛、精緻伴手禮、精油蠟燭、高級","https://maps.google.com/?q=Karmakamet+Siam+Paragon+Bangkok",""
曼谷,美食,"蒙天海南雞飯 Ruenton","蒙天海南雞飯 Ruenton","位於蒙天酒店（Montien）內的米其林必比登海南雞飯。雞肉極嫩、份量大，距住宿步行可達（Surawong）。人均約 300–500 THB。","米其林必比登、Surawong 步行可達、雞肉極嫩、300–500 THB","https://maps.google.com/?q=Ruenton+Khao+Man+Gai+Montien+Bangkok",""
曼谷,美食,"Charoen Saeng Silom","Charoen Saeng 滷豬腳飯","米其林推薦的泰式滷豬腳飯，肉質入口即化。位於 Silom，距住宿極近。注意：營業時間僅至 13:00，常提早售賣完畢。人均約 50–100 THB。","米其林推薦、Silom 近住宿、僅至 13:00、50–100 THB","https://maps.google.com/?q=Charoen+Saeng+Silom+Bangkok",""
曼谷,美食,"Hai Somtam Convent","Hai Somtam 伊善","位於 Sala Daeng Convent 路上的老牌泰北伊善料理，距住宿極近。烤豬頸肉與青木瓜沙拉口味穩定、上菜快速。人均約 150–300 THB。","Sala Daeng 近住宿、伊善料理、豬頸肉、150–300 THB","https://maps.google.com/?q=Hai+Somtam+Convent+Bangkok",""
曼谷,美食,"Jok Prince 王子粥","Jok Prince 王子戲院豬肉粥","帶有獨特炭燒味的米其林推薦廣東粥，以大塊豬肉丸為特色。位於 Bang Rak（近 BTS Saphan Taksin），適合早晨或宵夜。人均約 50–80 THB。","米其林推薦、炭燒粥、Saphan Taksin BTS、50–80 THB","https://maps.google.com/?q=Jok+Prince+Bangkok+Bang+Rak",""
曼谷,美食,"新記烤鴨 Prachak","新記烤鴨 Prachak","百年歷史廣式烤鴨店，提供烤鴨麵與燒肉飯，醬汁偏泰式微甜風味。位於 Bang Rak（近 BTS Saphan Taksin）。人均約 100–200 THB。","百年老店、廣式烤鴨、Saphan Taksin BTS、100–200 THB","https://maps.google.com/?q=Prachak+Roast+Duck+Bangkok+Bang+Rak",""
曼谷,美食,"Khao Soi Convent","Khao Soi Convent","專賣泰北清邁咖哩麵（Khao Soi），麵條分炸脆麵與水煮麵雙重口感，湯頭濃郁。位於 Sala Daeng Convent 路，距住宿極近。人均約 60–100 THB。","泰北 Khao Soi、Sala Daeng 近住宿、雙重口感、60–100 THB","https://maps.google.com/?q=Khao+Soi+Convent+Bangkok",""
曼谷,美食,"榮泰豬肉粉 Rung Rueang","榮泰豬肉粉","連續多年米其林必比登推薦的泰式粿條店，可自選湯底、麵條與配料，豬絞肉與魚丸為招牌。位於 Sukhumvit 26（近 BTS Phrom Phong）。人均約 60–100 THB。","米其林必比登、泰式粿條、Phrom Phong BTS、60–100 THB","https://maps.google.com/?q=Rung+Rueang+Pork+Noodle+Sukhumvit+Bangkok",""
曼谷,美食,"Tuang Dim Sum","Tuang Dim Sum 港點","前五星級飯店主廚開設的平價港式點心，燒賣與蝦餃水準極高，常需排隊候位。位於 Charoen Krung（Asiatique 附近）。人均約 150–300 THB。","港式點心、平價高水準、Charoen Krung、150–300 THB","https://maps.google.com/?q=Tuang+Dim+Sum+Bangkok+Charoen+Krung",""
曼谷,美食,"午餐：Copper","Copper Beyond Buffet","Copper Beyond Buffet，高檔 Live Cooking 自助餐廳，泰式與國際料理兼備。Gaysorn Amarin 3F，午餐 12:00–14:30，約 1,499 THB / 人，需透過 LINE @copperbeyondbuffet 訂位。","午餐 12:00–14:30、LINE 訂位、1,499 THB、Live Cooking","https://maps.google.com/?q=Copper+Beyond+Buffet+Gaysorn+Amarin+Bangkok",""
曼谷,美食,"Or Tor Kor 有機市場","Or Tor Kor","泰國政府認證的高品質農產品市場，新鮮熱帶水果（山竹、榴槤）、即食熟食、醃漬品質量俱佳。位於 Chatuchak 旁，BTS Mo Chit 步行可達。","Mo Chit BTS、有機市場、熱帶水果、高品質","https://maps.google.com/?q=Or+Tor+Kor+Market+Bangkok",""
曼谷,美食,"Nahm 泰式米其林","Nahm","曼谷米其林一星正宗泰國料理，料理強調傳統食譜與在地食材。位於 Como Metropolitan Hotel，需提前至少 1 週訂位，價位偏高。","米其林一星、Como Metropolitan、需提前訂位、傳統泰式","https://maps.google.com/?q=Nahm+Restaurant+Bangkok+Como+Metropolitan",""
曼谷,美食,"Laem Charoen Seafood","Laem Charoen Seafood","知名海鮮餐廳，Silom Complex 百貨內有分店（距住宿近）。招牌為炸鱸魚佐魚露醬與咖哩炒蟹。人均約 500–1,000 THB。","Silom Complex、炸鱸魚、咖哩炒蟹、500–1,000 THB","https://maps.google.com/?q=Laem+Charoen+Seafood+Silom+Complex+Bangkok",""
曼谷,美食,"Somboon Seafood 建興酒家","Somboon 建興酒家","泰國咖哩炒蟹的創始名店，Surawong 本店距離住宿不遠。適合多人聚餐分享，咖哩炒蟹是必點。人均約 600–1,200 THB。","咖哩炒蟹創始店、Surawong 近住宿、多人聚餐、600–1,200 THB","https://maps.google.com/?q=Somboon+Seafood+Surawong+Bangkok",""
曼谷,美食,"Supanniga Eating Room","Supanniga","提供泰國東部與東北部家傳菜色的精緻泰菜餐廳，環境優雅。推薦高麗菜炒魚露與泰式紅燒肉。Sathorn 分店距住宿近。人均約 500–800 THB。","精緻泰菜、Sathorn、高麗菜炒魚露、500–800 THB","https://maps.google.com/?q=Supanniga+Eating+Room+Sathorn+Bangkok",""
曼谷,美食,"Baan Phadthai","Baan Phadthai","米其林必比登推薦的炒河粉專賣店，使用多種中藥材調味，配料可選烤豬肉或大頭蝦。位於 Charoen Krung。是 Thip Samai 的高品質替代選擇。人均約 200–400 THB。","米其林必比登、升級版炒河粉、Charoen Krung、200–400 THB","https://maps.google.com/?q=Baan+Phadthai+Bangkok+Charoen+Krung",""
曼谷,美食,"Here Hai 蟹肉炒飯","Here Hai 蟹肉炒飯","曼谷目前最火紅的蟹肉炒飯名店，米其林必比登推薦，蟹肉份量浮誇。位於 Ekkamai，需提早排隊或訂位。人均約 400–800 THB。","米其林必比登、蟹肉浮誇、Ekkamai、需訂位","https://maps.google.com/?q=Here+Hai+Crab+Fried+Rice+Ekkamai+Bangkok",""
曼谷,美食,"Krua Apsorn","Krua Apsorn","泰國王室也喜愛的平價道地泰菜，位於曼谷舊城區。黃咖哩炒蟹肉與泰式烘蛋為必點菜色。人均約 200–500 THB。","王室喜愛、曼谷舊城區、黃咖哩炒蟹、200–500 THB","https://maps.google.com/?q=Krua+Apsorn+Bangkok",""
曼谷,美食,"Le Du 米其林一星","Le Du","曾獲亞洲 50 最佳餐廳第一名的米其林一星，以現代法式手法演繹泰國在地食材。位於 Silom，距住宿近。需提前訂位。人均約 3,500–5,000 THB。","米其林一星、Asia 50 Best、Silom 近住宿、3,500–5,000 THB","https://maps.google.com/?q=Le+Du+Restaurant+Bangkok+Silom",""
曼谷,美食,"100 Mahaseth","100 Mahaseth","創意泰式料理，大量使用在地原生食材，以「鼻子到尾巴」哲學烹飪，提供平易近人的精緻泰菜體驗。位於 Bang Rak，建議訂位。人均約 600–1,000 THB。","創意泰菜、Bang Rak、600–1,000 THB、訂位建議","https://maps.google.com/?q=100+Mahaseth+Restaurant+Bangkok+Bang+Rak",""
曼谷,美食,"中國城 Yaowarat 夜食","中國城夜食","曼谷中國城（Yaowarat Road）夜間美食天堂，螃蟹粉絲煲、燕窩、烤鴨、燒臘一條街。建議 19:00 後前往，Grab 最方便。","Yaowarat Road、夜間市集、螃蟹粉絲煲、燕窩","https://maps.google.com/?q=Yaowarat+Road+Chinatown+Bangkok",""
曼谷,美食,"Jay Fai 米其林炒蟹","Jay Fai 炒蟹 ⚠️","⚠️ 候位難度極高，通常需清晨 6 點排隊，或提前數月以 Email 預訂，對短暫停留曼谷的行程時間成本極高。曼谷街頭米其林一星傳奇，主廚 Jay Fai 親自炒的蟹肉蛋捲約 1,500 THB。","⚠️候位困難、米其林一星、需數月前訂、炒蟹蛋捲","https://maps.google.com/?q=Jay+Fai+Bangkok+Michelin+Maha+Chai+Road",""
曼谷,美食,"Thip Samai 炒河粉","Thip Samai","曼谷最知名的炒河粉老店（Pad Thai），以蛋皮包裹炒河粉為招牌，超過 60 年歷史。注意：此店以番茄醬為底，口味偏甜，常需排隊 20–40 分鐘。若想品嚐米其林推薦版本可改去 Baan Phadthai。一份約 120–180 THB。","炒河粉、60年老店、偏甜口味、可能需排隊","https://maps.google.com/?q=Thip+Samai+Pad+Thai+Bangkok+Phra+Nakhon",""
曼谷,美食,"Bo.lan 精緻泰菜","Bo.lan ⚠️已轉型","⚠️ 已結束常規 Fine Dining 營運，目前轉型為雜貨店與不定期客座活動，不再提供日常訂位。建議出發前確認是否有特別活動場次，否則不納入正常行程規劃。","⚠️已結束Fine Dining、轉型雜貨店、需提前確認","https://maps.google.com/?q=Bolan+Restaurant+Bangkok+Sukhumvit",""
曼谷,美食,"Gaggan Anand","Gaggan Anand","全球百大餐廳常客，主廚 Gaggan 以前衛印度泰式融合料理聞名，多道菜以圖示呈現。完整套餐含稅費約 10,000–14,000 THB，需提前數月搶訂，屬特殊體驗級別。","全球百大、印度泰式融合、10,000–14,000 THB、需數月前訂位","https://maps.google.com/?q=Gaggan+Anand+Restaurant+Bangkok",""
曼谷,美食,"Yakiniku Great","Yakiniku Great","高品質日本和牛專賣店，提供稀有部位，曼谷評價頂尖的日式燒肉。位於 Sukhumvit 49（近 BTS Thong Lo），需提前訂位。人均約 1,500–3,000 THB。","頂級和牛、Thong Lo BTS、需訂位、1,500–3,000 THB","https://maps.google.com/?q=Yakiniku+Great+Bangkok+Thong+Lo",""
曼谷,美食,"Seiniku-ten","Seiniku-ten 和牛吃到飽","提供單點與高品質 A5 級和牛吃到飽方案的日式燒肉店，肉品選擇豐富。位於 Thong Lo。人均約 600–1,000 THB。","A5和牛吃到飽、Thong Lo、選擇豐富、600–1,000 THB","https://maps.google.com/?q=Seiniku-ten+Bangkok+Thong+Lo",""
曼谷,美食,"Katsushin 勝利豬排","Katsushin 豬排","隱身在 Silom 巷弄內，被譽為曼谷最好吃的日式炸豬排之一，肉汁豐富、外皮酥脆。位於 Surawong，距住宿近。人均約 300–500 THB。","Silom 巷弄、曼谷最佳豬排、近住宿、300–500 THB","https://maps.google.com/?q=Katsushin+Tonkatsu+Bangkok+Silom",""
曼谷,美食,"Mensho Tokyo BKK","Mensho Tokyo","來自東京的知名拉麵品牌，以極濃郁的雞白湯與特色鴨肉拉麵聞名，麵體為自製粗麵。位於 Phrom Phong。人均約 300–500 THB。","東京拉麵品牌、雞白湯、鴨肉拉麵、300–500 THB","https://maps.google.com/?q=Mensho+Tokyo+Bangkok+Phrom+Phong",""
曼谷,美食,"No Name Noodle","No Name Noodle","曼谷目前最難預約的拉麵店，主打清湯醬油與鹽味拉麵，每日限量。需透過線上系統搶位。位於 Phrom Phong。人均約 400–600 THB。","最難預約、清湯醬油拉麵、每日限量、Phrom Phong","https://maps.google.com/?q=No+Name+Noodle+Bangkok+Phrom+Phong",""
曼谷,美食,"Jidori Cuisine Ken","Jidori Ken 燒鳥","曼谷最具代表性的正統日式燒鳥（Yakitori）居酒屋，雞肉串燒火候控制極佳。位於 Sukhumvit 26。人均約 500–1,000 THB。","正統燒鳥、Yakitori、Sukhumvit 26、500–1,000 THB","https://maps.google.com/?q=Jidori+Cuisine+Ken+Bangkok",""
曼谷,美食,"郭炎松牛肉粉 Wattana Panich","郭炎松牛肉粉","擁有幾十年不熄火的巨型老滷鍋，湯頭蘊含濃厚中藥與牛骨香氣，牛肉燉得極度軟爛。位於 Ekkamai。人均約 100–200 THB。","老滷鍋、中藥牛骨湯、Ekkamai、100–200 THB","https://maps.google.com/?q=Wattana+Panich+Beef+Noodle+Ekkamai+Bangkok",""
曼谷,美食,"王春盛牛肉火鍋","王春盛牛肉火鍋","炭火加熱的泰式牛肉火鍋與粿條店，牛雜處理乾淨，湯底清甜，深受當地華人喜愛。位於 Khlong Toei。人均約 100–300 THB。","炭火火鍋、牛雜清乾淨、Khlong Toei、100–300 THB","https://maps.google.com/?q=Heng+Chun+Seng+Beef+Hotpot+Bangkok",""
曼谷,美食,"Tasty Congee 正斗","Tasty Congee 正斗","香港米其林一星品牌在曼谷的分店，標準港式鮮蝦雲吞麵與乾炒牛河水準穩定。位於 Siam Paragon。人均約 200–400 THB。","香港米其林、雲吞麵、Siam Paragon、200–400 THB","https://maps.google.com/?q=Tasty+Congee+Bangkok+Siam+Paragon",""
曼谷,美食,"CQK Mala Hotpot","CQK 重慶麻辣火鍋","曼谷極具人氣的重慶麻辣火鍋，裝潢氣派，湯底道地，營業至凌晨。多間分店（如 Samyan），適合作為宵夜選項。人均約 600–1,000 THB。","重慶麻辣、營業至凌晨、宵夜選項、600–1,000 THB","https://maps.google.com/?q=CQK+Mala+Hotpot+Bangkok+Samyan",""
曼谷,美食,"ChaTraMue 手標茶","ChaTraMue 手標茶","泰國最經典的泰式奶茶連鎖品牌，可調整甜度，各捷運站常見。Sala Daeng BTS 站內有分店，距住宿極近。一杯約 45–60 THB。","泰式奶茶經典、Sala Daeng BTS、可調甜度、45–60 THB","https://maps.google.com/?q=ChaTraMue+Sala+Daeng+Bangkok",""
曼谷,美食,"Peace Oriental Teahouse","Peace Oriental Tea","專注於頂級東方茶飲與抹茶的靜謐茶室，抹茶拿鐵與柚子茶品質極佳，提供避開喧囂的空間。位於 Langsuan / Sukhumvit 49。人均約 150–300 THB。","頂級抹茶、靜謐空間、Langsuan、150–300 THB","https://maps.google.com/?q=Peace+Oriental+Teahouse+Bangkok",""
曼谷,美食,"Roots Coffee","Roots Coffee","曼谷知名精品咖啡烘焙品牌，住宿附近的 Saladaeng 分店提供優質義式咖啡與泰國在地豆手沖。距住宿近。人均約 100–200 THB。","Saladaeng 近住宿、精品咖啡、在地豆手沖、100–200 THB","https://maps.google.com/?q=Roots+Coffee+Saladaeng+Bangkok",""
曼谷,美食,"Mae Varee 芒果糯米飯","Mae Varee 芒果糯米飯","曼谷名氣最大的芒果糯米飯專賣店，芒果品質穩定，糯米有三色可選（白、藍、黃）。僅提供外帶。位於 Thong Lo BTS 站旁。一份約 150 THB。","芒果糯米飯、僅外帶、Thong Lo BTS、三色糯米","https://maps.google.com/?q=Mae+Varee+Mango+Sticky+Rice+Thong+Lo+Bangkok",""
曼谷,美食,"After You Dessert Cafe","After You","泰國國民甜點店，以泰式奶茶雪酥冰（Kakigori）與蜜糖吐司最為知名。Silom Complex 分店距住宿極近。人均約 200–300 THB。","泰國國民甜點、蜜糖吐司、Silom Complex、200–300 THB","https://maps.google.com/?q=After+You+Dessert+Silom+Complex+Bangkok",""
曼谷,美食,"朱拉隆功大學美食街","朱拉美食街","朱拉隆功大學周邊的平價美食街，提供各式泰式小吃、飲料、甜點，是在地學生與上班族最愛，價格便宜份量足。BTS National Stadium 步行可達。人均約 50–150 THB。","學生美食街、平價小吃、50–150 THB、National Stadium BTS","https://maps.google.com/?q=Chulalongkorn+University+Food+Street+Bangkok",""
曼谷,美食,"巴哥咖啡廳","巴哥咖啡廳","曼谷知名的巴哥犬主題咖啡廳，可與可愛的巴哥互動拍照，提供咖啡、甜點與輕食。需提前預約，營業時間 10:00–19:00。人均約 200–400 THB。","網美咖啡廳、巴哥犬、需預約、200–400 THB","https://maps.google.com/?q=Corgi+In+The+Garden+Bangkok",""
曼谷,美食,"Savoey 海鮮","Savoey","曼谷知名連鎖海鮮餐廳，咖哩炒蟹、清蒸魚、炒空心菜為招牌菜色，份量大適合多人分享。Terminal 21 Asok 等多個分店。人均約 400–800 THB。","連鎖海鮮、咖哩炒蟹、多人分享、400–800 THB","https://maps.google.com/?q=Savoey+Seafood+Terminal+21+Bangkok",""
曼谷,文化景點,"臥佛寺 Wat Pho","臥佛寺","泰國最古老寺廟之一，供奉 46 公尺長金身臥佛。泰式按摩發源地，廟內設有按摩學校。鄰近大皇宮步行可達。注意：票價已於 2024 年起調漲為 300 THB（外籍遊客）。","46m 臥佛、泰式按摩發源地、大皇宮旁、票價 300 THB","https://maps.google.com/?q=Wat+Pho+Bangkok",""
曼谷,文化景點,"鄭王廟 Wat Arun","鄭王廟","昭披耶河西岸地標，主塔高 79 公尺，以碎瓷片裝飾。除攀登塔身，周邊有大量泰服租借店（含髮妝約 150–300 THB），目前是極熱門的打卡體驗。搭渡輪前往（3–5 THB），票價 200 THB。","79m 高塔、泰服租借、渡輪 3 THB、票價 200 THB","https://maps.google.com/?q=Wat+Arun+Bangkok",""
曼谷,文化景點,"大皇宮 Grand Palace","大皇宮","泰國王室宮殿，含玉佛寺（Wat Phra Kaew），建築華麗。必須著長褲或長裙入場（現場可借衣），票價 500 THB，建議早上 08:30 前入場避開人潮。","票價 500 THB、著長褲長裙、早上去人少、含玉佛寺","https://maps.google.com/?q=Grand+Palace+Bangkok",""
曼谷,文化景點,"湄南河船遊","湄南河","搭乘昭披耶河快船遊覽沿岸景點，橘旗船（15 THB）串聯大皇宮、臥佛寺、鄭王廟等主要景點，觀景又省錢。Saphan Taksin 站（BTS 可達）為主要起點。","橘旗船 15 THB、串聯景點、Saphan Taksin 起站","https://maps.google.com/?q=Sathorn+Pier+Central+Bangkok+Saphan+Taksin",""
曼谷,文化景點,"Jim Thompson House","Jim Thompson","美國商人 Jim Thompson 建造的傳統泰式柚木建築群，收藏東南亞藝術品，叢林造景優美。導覽行程約 1 小時，票價 200 THB（含導覽）。National Stadium BTS 步行可達。","導覽 1 小時、泰式建築、藝術收藏、National Stadium BTS","https://maps.google.com/?q=Jim+Thompson+House+Bangkok",""
曼谷,文化景點,"四面佛 Erawan Shrine","四面佛","曼谷香火最鼎盛的信仰中心，位於 Gaysorn Amarin（6/23 吃 Copper）旁邊，可於用餐前後順道參觀。全天免費，周邊有傳統舞蹈表演。","Chit Lom BTS、Copper 旁邊、免費參觀、6/23 可順道","https://maps.google.com/?q=Erawan+Shrine+Bangkok",""
曼谷,文化景點,"River City 藝文展覽","River City Bangkok","昭披耶河畔藝術與古董中心。若對沉浸式光影藝術或數位互動展覽有興趣，此處經常舉辦國際級大型投影展覽。免費入場，特展另行購票。","河畔藝文、沉浸式展覽、免費入場、數位互動","https://maps.google.com/?q=River+City+Bangkok+Shopping+Complex",""
曼谷,文化景點,"MOCA 曼谷當代藝術館","MOCA Bangkok","泰國最大的當代藝術私人美術館，五層樓空間展示泰國現代藝術家的雕塑與畫作，採光極佳。位於曼谷北區，距 BTS 恰圖恰一帶。票價 280 THB。","當代藝術、五層樓、票價 280 THB、泰國藝術家","https://maps.google.com/?q=Museum+of+Contemporary+Art+Bangkok+MOCA",""
曼谷,文化景點,"龍蓮寺 Wat Mangkon","龍蓮寺","曼谷最大、香火最旺的華人佛寺，建築融合潮州與中式風格。MRT Wat Mangkon 站步行可達，周邊即是中國城老街區，適合連帶探索移民文化與街頭美食。免費參觀。","MRT Wat Mangkon、華人佛寺、中國城、免費參觀","https://maps.google.com/?q=Wat+Mangkon+Bangkok+Chinatown",""
曼谷,放鬆,"Health Land Sathorn","Health Land","曼谷規模最大的連鎖按摩品牌，Sathorn 館距住宿近。建築氣派，傳統泰式按摩價格實惠品質穩定，性價比極高。人均約 600–1,200 THB。","Sathorn 近住宿、連鎖品質穩定、600–1,200 THB、傳統泰式","https://maps.google.com/?q=Health+Land+Sathorn+Bangkok",""
曼谷,放鬆,"Divana Virtue Spa","Divana Virtue Spa","屢獲大獎的頂級 SPA，位於 Surawong 優雅歐式洋房內，距住宿步行可達。精油芳療與臉部保養水準極高，技師手法細膩。人均約 1,500–3,500 THB。","Surawong 步行可達、頂級SPA、精油芳療、1,500–3,500 THB","https://maps.google.com/?q=Divana+Virtue+Spa+Bangkok+Surawong",""
曼谷,放鬆,"Yunomori Onsen Bangkok","Yunomori Onsen & Spa","結合正宗日式溫泉與泰式按摩的複合式會館，位於 Sathorn Soi 10。水質乾淨，適合先泡湯再進行深層肌肉放鬆。人均約 1,000–2,000 THB。","日式溫泉、Sathorn Soi 10、先泡湯再按摩、1,000–2,000 THB","https://maps.google.com/?q=Yunomori+Onsen+Spa+Bangkok+Sathorn",""
曼谷,放鬆,"Perception Blind Massage","Perception 盲人按摩","曼谷知名盲人按摩中心，師傅觸覺敏銳，能精準找到穴位與肌肉緊繃處，按壓深層。位於 Sathorn / Silom 區，價格親民。人均約 400–800 THB。","盲人按摩、Sathorn/Silom、深層穴位、400–800 THB","https://maps.google.com/?q=Perception+Blind+Massage+Bangkok+Sathorn",""
